"","date","id","deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","new_confirmed_nod","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"612",2020-05-18,"22745cb1",0,332,8,281482,2,"Sweden","Värmland",NA,332,8,4.97201098261211,10.2518744898552,7.13949806050265,1.90755312498666,2.46732808205102,2.18744060351884,-0.0197412462615069,0.108223519696242,0.0222226395139619,0.0662596339207732,0.0442411367173675,0.0876716724672489,1.99999994276107,1.35523296513953,"Sweden","Värmland",NA,0
"613",2020-05-19,"22745cb1",0,347,15,281482,2,"Sweden","Värmland",NA,347,15,8.73095366731692,17.2814845521337,12.2834783724779,1.9537633909037,2.50960008956872,2.23168174023621,-0.0172785201103595,0.110782257821395,0.0247168511719212,0.0687868865391143,0.0467518688555177,0.0762050537719002,1.99999994276107,1.43107016288136,"Sweden","Värmland",NA,0
"614",2020-05-20,"22745cb1",0,363,16,281482,2,"Sweden","Värmland",NA,363,16,10.0771058838309,19.7783831261155,14.1176790221637,2.00250128902975,2.55436592915371,2.27843360909173,-0.0158053624527703,0.112194254849784,0.0261699522331612,0.0702189401638521,0.0481944461985067,0.0699810462440231,1.99999994276107,1.47593220658858,"Sweden","Värmland",NA,0
"615",2020-05-21,"22745cb1",0,383,20,281482,2,"Sweden","Värmland",NA,383,20,10.390118361533,20.359478267726,14.5443249750799,2.05246312976626,2.60079298081421,2.32662805529023,-0.0148363561707224,0.112890238325121,0.0270494252926135,0.0710044568617853,0.0490269410771994,0.066208797098615,1.99999994276107,1.50463635490736,"Sweden","Värmland",NA,0
"616",2020-05-22,"22745cb1",0,385,2,281482,2,"Sweden","Värmland",NA,385,2,9.33819514254582,18.360931184143,13.0941955994396,2.10298136527421,2.64832862746065,2.37565499636743,-0.0130990309261779,0.11420142256791,0.0286470047861454,0.0724553868555867,0.0505511958208661,0.059781659081962,1.99999994276107,1.55660911591223,"Sweden","Värmland",NA,0
"617",2020-05-23,"22745cb1",0,404,19,281482,2,"Sweden","Värmland",NA,404,19,8.89206770180015,17.5577958036531,12.4950033605624,2.15486725033907,2.69754513403752,2.4262061921883,-0.0135013226760444,0.113366187751782,0.0281027366629864,0.0717621284127507,0.0499324325378685,0.0614393259098335,1.99999994276107,1.54280270976663,"Sweden","Värmland",NA,0
"618",2020-05-24,"22745cb1",0,407,3,281482,2,"Sweden","Värmland",NA,407,3,2.71465424330493,6.13281960344073,4.08025547728375,2.20619462234792,2.74608262710441,2.47613862472617,-0.0144413562114308,0.112207089699754,0.0270908646157645,0.0706748688725587,0.0488828667441616,0.0651416165788549,1.99999994276107,1.51298592873087,"Sweden","Värmland",NA,0
"619",2020-05-25,"22745cb1",0,409,2,281482,2,"Sweden","Värmland",NA,409,2,7.03326221159929,14.2363148617896,10.0063847292543,2.25675271376184,2.79329026917881,2.52502149147033,-0.0164262147237848,0.110245343002771,0.0251135852332831,0.0687055430457036,0.0469095641394933,0.0733001927394238,1.99999994276107,1.45164483478367,"Sweden","Värmland",NA,0
"620",2020-05-26,"22745cb1",0,432,23,281482,2,"Sweden","Värmland",NA,432,23,12.3782400435325,24.072468708783,17.2619464753469,2.30543113297978,2.83843097823986,2.57193105560982,-0.0217619775577919,0.104969269338438,0.0197973964553021,0.0634098953253441,0.0416036458903231,0.099074401775617,1.99999994276107,1.28684360909601,"Sweden","Värmland",NA,0
"621",2020-05-27,"22745cb1",0,459,27,281482,2,"Sweden","Värmland",NA,459,27,14.2075860332387,27.4202508321145,19.7376688783213,2.34859883577184,2.87847056722845,2.61353470150015,-0.0291476504866514,0.0975142711056694,0.0123889894627899,0.0559776311562282,0.034183310309509,0.145049676508544,1.99999994276107,1.05790368939194,"Sweden","Värmland",NA,0
"622",2020-05-28,"22745cb1",0,485,26,281482,2,"Sweden","Värmland",NA,485,26,14.4382038518843,27.8464067697014,20.0512368068267,2.38394844942827,2.91148757419104,2.64771801180965,-0.0371562515553817,0.089255683056493,0.00429840938199102,0.0478010221191203,0.0260497157505556,0.209608673028429,1.99999994276107,0.807779816602835,"Sweden","Värmland",NA,0
"623",2020-05-29,"22745cb1",0,515,30,281482,2,"Sweden","Värmland",NA,515,30,12.6759914238238,24.5534848471317,17.6419886449127,2.41074760946365,2.93678784565677,2.67376772756021,-0.0446787852992116,0.0813537236570684,-0.00334855060333191,0.0400234889611887,0.0183374691789284,0.284223081354191,1.99999994276107,0.57034140565718,"Sweden","Värmland",NA,0
"624",2020-05-30,"22745cb1",0,531,16,281482,2,"Sweden","Värmland",NA,531,16,11.6803913060628,22.7495234178202,16.3010225307058,2.42956937058307,2.95464102289521,2.69210519673914,-0.049198801309098,0.0764598428437926,-0.00799116926706196,0.0352522108017566,0.0136305207673473,0.335343689976116,1.99999994276107,0.425204807430853,"Sweden","Värmland",NA,0
"625",2020-05-31,"22745cb1",0,533,2,281482,2,"Sweden","Värmland",NA,533,2,3.4374923921247,7.66581736498567,5.13334090739702,2.44366628073641,2.96780515427656,2.70573571750648,-0.050888703439566,0.0746134383917547,-0.00973239369313845,0.0334571286453271,0.0118623674760943,0.355501775515228,1.99999994276107,0.37050862535514,"Sweden","Värmland",NA,0
"626",2020-06-01,"22745cb1",0,539,6,281482,2,"Sweden","Värmland",NA,539,6,8.57338939124915,17.1661043485878,12.1314342479057,2.45622604649747,2.97897012346769,2.71759808498258,-0.0510769717587583,0.074523928784394,-0.00988827575919604,0.0333352327848317,0.0117234785128178,0.357226318748697,1.99999994276107,0.365882657835846,"Sweden","Värmland",NA,0
"627",2020-06-02,"22745cb1",0,560,21,281482,2,"Sweden","Värmland",NA,560,21,14.5518071971646,28.0524151542613,20.2042900577979,2.46873473311689,2.9899083938739,2.7293215634954,-0.0513096985212577,0.0744495565262108,-0.0100690728340082,0.0332089308389613,0.0115699290024765,0.359185865368761,1.99999994276107,0.360635790025633,"Sweden","Värmland",NA,0
"628",2020-06-03,"22745cb1",0,574,14,281482,2,"Sweden","Värmland",NA,574,14,16.1957035447093,31.0322026274379,22.4184824217282,2.48092165473875,3.00086133025699,2.74089149249787,-0.0513556007548814,0.0744608708276633,-0.0100962118703999,0.0332014819431819,0.011552635036391,0.359448627625339,1.99999994276107,0.359932977185847,"Sweden","Värmland",NA,0
"629",2020-06-04,"22745cb1",0,595,21,281482,2,"Sweden","Värmland",NA,595,21,16.0797748211894,30.8294883960547,22.2650225973618,2.49275487198941,3.01213338307912,2.75244412753427,-0.0526652023461013,0.0730521050483698,-0.0114383326838463,0.0318252353861148,0.0101934513511342,0.375304342080203,1.99999994276107,0.31783686654528,"Sweden","Värmland",NA,0
"630",2020-06-05,"22745cb1",0,607,12,281482,2,"Sweden","Värmland",NA,607,12,13.8877521472273,26.7703772533956,19.2816068879886,2.50287621313853,3.02239894463226,2.7626375788854,-0.0554822465266937,0.0700204683651286,-0.0143257488547442,0.0288639706931791,0.00726911091921743,0.410195529974496,1.99999994276107,0.227042030342905,"Sweden","Värmland",NA,0
