"","date","id","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","series","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"3026",2020-03-15,"f44d4296",0,0,9,0,107038,2,"Sweden","Örebro",NA,9,0,0.576920286918334,1.57923892859201,0.954512952136274,0.296384582033182,1.11900077581746,0.707692678925322,0.0663485597245718,0.179418714440326,0.103428009068254,0.142339265096644,0.122883637082449,1.02148166360519e-05,1.05133932740304,4.26014280384341,"Sweden","Örebro",NA,0
"3027",2020-03-16,"f44d4296",0,0,9,0,107038,2,"Sweden","Örebro",NA,9,0,1.19064286408345,3.06182724066448,1.9093304468199,0.435848771057449,1.22530386095809,0.83057631600777,0.0666645328970618,0.175408611845499,0.102325318689125,0.139747826053436,0.12103657237128,6.41340659151192e-06,1.05133932740304,4.36303888825746,"Sweden","Örebro",NA,0
"3028",2020-03-17,"f44d4296",0,0,25,16,107038,2,"Sweden","Örebro",NA,25,16,2.95417597249693,7.18927423021732,4.6085118195139,0.570726222489204,1.3324995542689,0.951612888379051,0.0659580732695465,0.170918245425056,0.100377990676824,0.136498328017778,0.118438159347301,4.86050442536231e-06,1.05133932740304,4.42328784240168,"Sweden","Örebro",NA,0
"3029",2020-03-18,"f44d4296",0,0,28,3,107038,2,"Sweden","Örebro",NA,28,3,2.34691193070456,5.64829271337512,3.64088527107511,0.700700859938081,1.43940123551462,1.07005104772635,0.065095048549614,0.166791264630046,0.0984446066366088,0.133441706543051,0.11594315658983,3.92778376708386e-06,1.05133932740304,4.46908292025784,"Sweden","Örebro",NA,0
"3030",2020-03-19,"f44d4296",0,0,37,9,107038,2,"Sweden","Örebro",NA,37,9,3.05880359560767,7.20724842962872,4.69526968458534,0.826301632261928,1.54568677637044,1.18599420431618,0.0640380568691845,0.162954580632479,0.096476061764062,0.130516575737601,0.113496318750832,3.43453756702014e-06,1.05133932740304,4.49770551302074,"Sweden","Örebro",NA,0
"3031",2020-03-20,"f44d4296",0,0,42,5,107038,2,"Sweden","Örebro",NA,42,5,2.67376953480982,6.28424818082416,4.09910128382694,0.947962817088646,1.65101822904538,1.29949052306701,0.0631239721045099,0.159709924829199,0.0947977055522929,0.128036191381416,0.111416948466854,3.06519140693542e-06,1.05133932740304,4.52184194703439,"Sweden","Örebro",NA,0
"3032",2020-03-21,"f44d4296",0,0,42,0,107038,2,"Sweden","Örebro",NA,42,0,1.90737971622773,4.53403562945387,2.94076989787949,1.06639719955004,1.7554177435177,1.41090747153387,0.0624434735100802,0.157111712856866,0.09348832521422,0.126066861152726,0.109777593183473,2.73945614382133e-06,1.05133932740304,4.54556101251506,"Sweden","Örebro",NA,0
"3033",2020-03-22,"f44d4296",0,0,42,0,107038,2,"Sweden","Örebro",NA,42,0,1.38176380967708,3.35186139843449,2.15208753897475,1.18233466677961,1.85903546265508,1.52068506471734,0.0617353768523114,0.154852956947261,0.0922717160199438,0.124316617779628,0.108294166899786,2.57221713503104e-06,1.05133932740304,4.55880976810012,"Sweden","Örebro",NA,0
"3034",2020-03-23,"f44d4296",0,0,48,6,107038,2,"Sweden","Örebro",NA,48,6,2.78666732334833,6.45893675690951,4.24251199221088,1.29614623927142,1.96181222396284,1.62897923161713,0.060791976686848,0.152660183884613,0.0909186050942096,0.122533555477251,0.10672608028573,2.63303092840027e-06,1.05133932740304,4.5538991116015,"Sweden","Örebro",NA,0
"3035",2020-03-24,"f44d4296",0,0,59,11,107038,2,"Sweden","Örebro",NA,59,11,6.76062908961533,15.0726053222435,10.0945675488279,1.40787497443261,2.0635356493731,1.73570531190286,0.0597874771351631,0.150636526492703,0.0895798899256376,0.120844113702228,0.105212001813933,2.81729859964927e-06,1.05133932740304,4.53965640267996,"Sweden","Örebro",NA,0
